饰品名称,Buff当前价格,Buff当前在售数量
P90（StatTrak™） | 三角 (久经沙场),59.77,70
PP-野牛（StatTrak™） | 买定离手 (略有磨损),42,88
PP-野牛 | 路霸 (崭新出厂),13.1,78
PP-野牛 | 辐照警报 (略有磨损),15.62,7
P90 | 棕色皮革 (战痕累累),18.4,20
MP7（StatTrak™） | 速递 (略有磨损),25.8,26
MP7（StatTrak™） | 速递 (战痕累累),11.5,16
UMP-45（StatTrak™） | 野蛮剑齿虎 (久经沙场),15.8,195
P90（StatTrak™） | 往日行动 (战痕累累),34.3,17
PP-野牛（StatTrak™） | 古董枪 (久经沙场),35.62,20
MAC-10（StatTrak™） | 诅咒 (久经沙场),42.58,24
MAC-10（StatTrak™） | 孔雀石 (略有磨损),15.65,55
P90（StatTrak™） | 沙漠战争 (略有磨损),18.9,24
PP-野牛（StatTrak™） | 水蓝条纹 (久经沙场),11.21,32
P90 | 喵之萌杀 (久经沙场),189.88,155
MP5-SD（StatTrak™） | 探员 (略有磨损),11.22,68
PP-野牛（纪念品） | 黄铜 (破损不堪),14.69,37
UMP-45 | 色如焦糖 (略有磨损),37.9,101
UMP-45（StatTrak™） | 合金绽放 (崭新出厂),38.59,25
P90（StatTrak™） | 夺命器 (略有磨损),13.4,180
MAC-10（StatTrak™） | 烧尽 (略有磨损),47.9,14
P90（StatTrak™） | 死亡之握 (久经沙场),48.87,18
MP7（StatTrak™） | 七彩斑斓 (崭新出厂),44.08,39
P90（StatTrak™） | 往日行动 (略有磨损),68.9,70
MP5-SD（StatTrak™） | 磷光体 (崭新出厂),112.5,91
MP5-SD | 磷光体 (崭新出厂),32.95,269
MP9 | 气密 (崭新出厂),34.7,337
P90 | 辐射警告 (久经沙场),28.63,23
MAC-10 | 核子花园 (久经沙场),14.79,97
MP9 | 赤红新星 (崭新出厂),105.93,274
MP5-SD（StatTrak™） | 猛烈冲锋 (略有磨损),11.4,119
P90 | 死亡之握 (久经沙场),18.89,39
P90（StatTrak™） | 深蓝组件 (崭新出厂),12.5,340
MAC-10（StatTrak™） | 孔雀石 (久经沙场),11.69,34
MP7 | 橘皮涂装 (久经沙场),17.76,8
P90（StatTrak™） | 三角 (战痕累累),66.29,32
UMP-45（StatTrak™） | 动量 (崭新出厂),99.5,148
P90（StatTrak™） | 死亡之握 (崭新出厂),139.5,17
MP7 | 海之泡沫 (崭新出厂),13.14,124
