饰品名称,Buff当前价格,Buff当前在售数量
P90（纪念品） | 冰川网格 (破损不堪),9.9,22
MP9（StatTrak™） | 九头蛇 (战痕累累),31.83,19
MP9（纪念品） | 赤红新星 (略有磨损),208.99,14
P90 | 棕色皮革 (破损不堪),18.8,7
PP-野牛（StatTrak™） | 古董枪 (战痕累累),44.8,2
P90 | 沙漠战争 (战痕累累),27.11,4
MP9（StatTrak™） | 飞驰 (战痕累累),10.36,4
MAC-10（纪念品） | 渐变琥珀 (破损不堪),59.9,6
MAC-10（StatTrak™） | 诅咒 (战痕累累),176.49,1
P90 | 盲点 (战痕累累),33.48,7
PP-野牛 | 古董枪 (战痕累累),21.3,5
PP-野牛 | 古董枪 (破损不堪),16.2,6
P90 | 冰川网格 (战痕累累),23.99,3
MP9 | 赤红新星 (略有磨损),176.36,3
UMP-45 | 炽烈之炎 (略有磨损),146.89,8
P90 | 盲点 (破损不堪),36.08,4
MAC-10 | 狂哮飓风 (崭新出厂),80.29,5
MAC-10（StatTrak™） | 潜行者 (战痕累累),98.88,20
MAC-10（纪念品） | 核子花园 (破损不堪),32.8,11
UMP-45 | 色如焦糖 (破损不堪),44.52,1
P90（StatTrak™） | 病毒危机 (崭新出厂),77.9,14
MP7 | 橘皮涂装 (略有磨损),22.63,5
PP-野牛 | 外表生锈 (略有磨损),50.72,2
PP-野牛（纪念品） | 都市虚线 (崭新出厂),24.9,19
MAC-10 | 通勤者皮革 (久经沙场),22.9,5
PP-野牛（纪念品） | 午夜行动 (久经沙场),68.4,10
P90 | 沙漠战争 (久经沙场),75.45,1
MP7 | 逮捕者 (久经沙场),22.09,3
P90（纪念品） | 沙漠涂装 (崭新出厂),26.3,18
UMP-45（StatTrak™） | 合金绽放 (战痕累累),10.9,6
MAC-10（StatTrak™） | 诅咒 (破损不堪),37.9,1
P90（StatTrak™） | 沙漠战争 (崭新出厂),50.26,29
MP9 | 干旱季节 (崭新出厂),54.9,5
MAC-10 | 都市 DDPAT (崭新出厂),54.9,5
MAC-10 | 通勤者皮革 (略有磨损),34.7,5
MP7 | 地下水 (破损不堪),5.74,1
PP-野牛（纪念品） | 沙漠虚线 (战痕累累),17.53,4
P90（StatTrak™） | 盲点 (破损不堪),44.35,9
PP-野牛 | 碳素纤维 (略有磨损),59.9,2
PP-野牛（StatTrak™） | 水蓝条纹 (破损不堪),11.14,8
PP-野牛（StatTrak™） | 水蓝条纹 (战痕累累),10.55,2
UMP-45（纪念品） | 硝烟 (久经沙场),58.92,8
PP-野牛 | 辐照警报 (破损不堪),7.09,1
MP7 | 橘皮涂装 (崭新出厂),43.7,8
MAC-10 | 诅咒 (战痕累累),36.77,1
MP7 | 银装素裹 (破损不堪),22.76,2
MAC-10 | 狂哮飓风 (战痕累累),6.64,1
P90 | 枯焦之色 (崭新出厂),28.18,4
PP-野牛 | 辐照警报 (崭新出厂),52.91,3
P90 | 巴洛克之红 (破损不堪),205.5,3
MP5-SD（纪念品） | 协处理器 (破损不堪),49.9,4
PP-野牛（StatTrak™） | 阿努比斯之审判 (战痕累累),75.06,4
UMP-45（StatTrak™） | 合金绽放 (破损不堪),13.9,3
MP7（纪念品） | 陆军斥候 (略有磨损),36,7
PP-野牛（纪念品） | 沙漠虚线 (略有磨损),21.85,11
MP7（纪念品） | 陆军斥候 (战痕累累),16.04,4
PP-野牛 | 现代猎手 (略有磨损),88.8,5
MP7 | 逮捕者 (战痕累累),26.74,3
MAC-10（StatTrak™） | 烧尽 (战痕累累),35.09,2
MAC-10（纪念品） | 棕榈色 (崭新出厂),86.9,12
P90（纪念品） | 设施系列·底片图 (破损不堪),52.66,4
MAC-10 | 通勤者皮革 (破损不堪),18.9,4
MP7（纪念品） | 橘皮涂装 (崭新出厂),97.5,14
MP7 | 橄榄格纹 (战痕累累),12.69,1
MAC-10（StatTrak™） | 阿罗哈 (破损不堪),20.5,3
MP7 | 橘皮涂装 (破损不堪),21.9,2
P90 | 沙漠战争 (破损不堪),11.57,1
PP-野牛（纪念品） | 午夜行动 (略有磨损),69.9,2
MP7（StatTrak™） | 帝国 (破损不堪),24.76,4
P90（StatTrak™） | 病毒危机 (破损不堪),15.01,2
PP-野牛（纪念品） | 午夜行动 (崭新出厂),119.5,7
PP-野牛 | 现代猎手 (战痕累累),34.34,7
PP-野牛 | 现代猎手 (破损不堪),31.82,3
P90（StatTrak™） | 沙漠战争 (破损不堪),27.94,1
MAC-10（StatTrak™） | 孔雀石 (战痕累累),17.46,1
MP7（纪念品） | 陆军斥候 (破损不堪),26.76,2
MP7 | 橘皮涂装 (战痕累累),23.66,2
PP-野牛 | 外表生锈 (破损不堪),35.22,3
PP-野牛（纪念品） | 沙漠虚线 (破损不堪),30.38,3
