饰品名称,Buff当前价格,Buff当前在售数量
双持贝瑞塔（StatTrak™） | 海斗士 (破损不堪),32.38,1
P250 | 日式深红涂装 (破损不堪),59.39,3
R8 左轮手枪（纪念品） | 渐变琥珀 (久经沙场),83.95,16
沙漠之鹰（纪念品） | 都市瓦砾 (破损不堪),63.9,14
P2000 | 草原落叶 (战痕累累),15.78,13
CZ75（StatTrak™） | 维多利亚 (战痕累累),152.02,7
P2000（StatTrak™） | 林间猎者 (战痕累累),39.9,6
P2000（纪念品） | 工业牧草 (崭新出厂),25.8,21
P2000（纪念品） | 渐变琥珀 (破损不堪),199.5,5
USP 消音版（StatTrak™） | 血清 (久经沙场),174.5,7
FN57（StatTrak™） | 怒氓 (破损不堪),72.8,5
P2000（纪念品） | 坚毅大理石纹 (久经沙场),48.46,8
FN57（StatTrak™） | 铜色星系 (久经沙场),49.4,4
双持贝瑞塔（StatTrak™） | 血红蛋白 (久经沙场),73.83,3
Tec-9（纪念品） | 地下水 (略有磨损),48.78,16
P250 | 多面体 (破损不堪),9.91,2
双持贝瑞塔（纪念品） | 深蓝电镀处理 (略有磨损),41.74,3
P250（StatTrak™） | 红岩 (破损不堪),44.52,1
FN57 | 狂野丛林 (破损不堪),6.12,1
双持贝瑞塔 | 决斗家 (战痕累累),175.72,3
双持贝瑞塔（纪念品） | 双涡轮 (破损不堪),142,14
Tec-9（纪念品） | 遥控 (战痕累累),197.5,1
P250（纪念品） | 核子威慑 (战痕累累),125.5,8
P2000 | 林间猎者 (破损不堪),24.75,2
FN57（纪念品） | 银白石英 (久经沙场),149.38,4
Tec-9（纪念品） | 陆军网格 (崭新出厂),76.74,11
CZ75 | 毒镖 (战痕累累),10.55,1
格洛克 18 型（纪念品） | 核子花园 (战痕累累),194.5,3
Tec-9（纪念品） | 晶红石英 (破损不堪),89.14,2
CZ75（StatTrak™） | 蓝巢 (破损不堪),10.55,2
P2000（StatTrak™） | 火灵 (战痕累累),143.5,9
CZ75 | 氮化处理 (战痕累累),27.9,2
P250 | 现代猎手 (破损不堪),29.25,9
双持贝瑞塔（纪念品） | 人工染色 (战痕累累),58.79,3
Tec-9 | 核子威慑 (战痕累累),62.31,1
P250 | 现代猎手 (战痕累累),37.02,7
P2000（纪念品） | 坚毅大理石纹 (战痕累累),59.8,4
P250（纪念品） | 北方森林 (破损不堪),32.64,6
P2000（纪念品） | 坚毅大理石纹 (略有磨损),94.9,4
