饰品名称,Buff当前价格,Buff当前在售数量
USP 消音版 | 黑色魅影 (战痕累累),65.8,94
P2000 | 银质 (崭新出厂),18.47,190
P2000 | 渐变琥珀 (崭新出厂),81.5,560
FN57 | 表面淬火 (崭新出厂),61.9,342
R8 左轮手枪（StatTrak™） | 美洲驼炮 (久经沙场),24.7,156
P250（StatTrak™） | 钢铁禁锢 (略有磨损),18.2,108
P250（StatTrak™） | 钢铁禁锢 (崭新出厂),18.89,222
Tec-9（StatTrak™） | 蓝钛 (崭新出厂),22.68,121
USP 消音版（StatTrak™） | 血虎 (略有磨损),14.94,197
格洛克 18 型（纪念品） | 噩梦之夜 (略有磨损),16.65,390
USP 消音版 | 守护者 (崭新出厂),16.76,1590
沙漠之鹰 | 大佬龙 (崭新出厂),114.5,401
R8 左轮手枪（StatTrak™） | 美洲驼炮 (略有磨损),40.69,89
FN57 | 三位一体 (崭新出厂),10.9,91
USP 消音版 | 疯狂蔓延 (略有磨损),104.5,250
R8 左轮手枪（StatTrak™） | 重新启动 (崭新出厂),54.8,132
沙漠之鹰 | 红色代号 (破损不堪),92.99,293
USP 消音版（StatTrak™） | 小绿怪 (略有磨损),111.5,298
沙漠之鹰 | 后发制人 (崭新出厂),67.2,385
P250 | 死亡轮回 (略有磨损),14.9,426
格洛克 18 型 | 子弹皇后 (破损不堪),40.6,300
P250（StatTrak™） | 超新星 (崭新出厂),14.84,438
沙漠之鹰（StatTrak™） | 轻轨 (略有磨损),25.8,417
USP 消音版（StatTrak™） | 力矩 (久经沙场),12.7,368
FN57（StatTrak™） | 表面淬火 (略有磨损),89.9,110
沙漠之鹰 | 黄金锦鲤 (崭新出厂),173.5,463
格洛克 18 型（纪念品） | 地下水 (久经沙场),12.45,623
Tec-9（StatTrak™） | 燃料喷射器 (战痕累累),14.15,49
USP 消音版 | 小绿怪 (战痕累累),13.1,159
P250 | 狂野飞溅 (略有磨损),63.8,110
P250 | 葡萄酒 (久经沙场),27.14,117
格洛克 18 型 | 水灵 (破损不堪),23.79,42
沙漠之鹰 | 飞行员 (战痕累累),188,4
双持贝瑞塔 | 熊熊烈焰 (崭新出厂),84.93,13
Tec-9 | 锈叶 (久经沙场),35.7,78
Tec-9 | 核子剧毒 (略有磨损),13.85,105
P250 | 暗之镂刻 (略有磨损),18.97,108
USP 消音版 | 铅管 (崭新出厂),10.97,212
P2000（StatTrak™） | 黑曜石 (崭新出厂),43.9,40
USP 消音版 | 倒吊人 (破损不堪),149,134
沙漠之鹰（纪念品） | 都市瓦砾 (久经沙场),29.9,284
P250 | 二西莫夫 (破损不堪),12.9,121
格洛克 18 型 | 摩登时代 (战痕累累),19.5,131
