饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
M4A4（纪念品） | 狂哮飓风 (战痕累累),$4.63 USD,80
M4A4（纪念品） | 狂哮飓风 (略有磨损),$10.98 USD,93
P90（纪念品） | 辐射警告 (久经沙场),$2.67 USD,85
UMP-45（纪念品） | 辐射警告 (久经沙场),$3.19 USD,80
XM1014（纪念品） | 辐射警告 (略有磨损),$8.18 USD,28
截短霰弹枪（纪念品） | 辐照警报 (略有磨损),$1.00 USD,168
M4A4（纪念品） | 辐射危机 (久经沙场),$32.20 USD,56
P90（纪念品） | 辐射警告 (战痕累累),$3.00 USD,42
SSG 08（纪念品） | 迂回路线 (崭新出厂),$23.11 USD,44
UMP-45（纪念品） | 紫青之色 (破损不堪),$0.78 USD,148
MP9（纪念品） | 黑暗时代 (久经沙场),$11.85 USD,14
MAC-10（纪念品） | 紫青之色 (久经沙场),$1.06 USD,214
MP7（纪念品） | 硝烟 (略有磨损),$1.78 USD,98
CZ75（纪念品） | 氮化处理 (久经沙场),$1.55 USD,132
SCAR-20（纪念品） | 暴风呼啸 (破损不堪),$0.35 USD,177
UMP-45（纪念品） | 枯焦之色 (战痕累累),$0.13 USD,443
XM1014（纪念品） | 蔚蓝多变迷彩 (略有磨损),$2.14 USD,45
XM1014（纪念品） | 蔚蓝多变迷彩 (崭新出厂),$3.23 USD,42
P2000（纪念品） | 工业牧草 (战痕累累),$0.34 USD,142
MP7（纪念品） | 硝烟 (久经沙场),$0.49 USD,202
格洛克 18 型（纪念品） | 噩梦之夜 (久经沙场),$1.63 USD,285
MAG-7（纪念品） | 暴风呼啸 (略有磨损),$0.28 USD,280
AUG（纪念品） | 辐射危机 (破损不堪),$2.71 USD,30
PP-野牛（纪念品） | 化工之绿 (战痕累累),$0.46 USD,158
XM1014（纪念品） | 碾骨机 (略有磨损),$11.13 USD,45
MAC-10（纪念品） | 核子花园 (战痕累累),$3.36 USD,43
P250（纪念品） | 核子污染 (崭新出厂),$6.72 USD,51
MP9（纪念品） | 落日 (战痕累累),$3.73 USD,29
XM1014（纪念品） | 碾骨机 (战痕累累),$4.46 USD,22
法玛斯（纪念品） | 冥界之憎 (久经沙场),$12.72 USD,38
沙漠之鹰（纪念品） | 都市 DDPAT (久经沙场),$2.84 USD,215
截短霰弹枪（纪念品） | 贤者涂装 (破损不堪),$0.14 USD,261
MP9（纪念品） | 暴风呼啸 (略有磨损),$1.01 USD,200
折叠刀（★ StatTrak™）,$195.46 USD,7
M9 刺刀（★ StatTrak™） | 蓝钢 (略有磨损),$409.14 USD,1
穿肠刀（★ StatTrak™） | 狩猎网格 (久经沙场),$140.00 USD,6
刺刀（★ StatTrak™） | 狩猎网格 (久经沙场),$214.97 USD,6
M9 刺刀（★ StatTrak™） | 屠夫 (崭新出厂),"$1,052.71 USD",1
折叠刀（★ StatTrak™） | 狩猎网格 (略有磨损),$158.35 USD,2
猎杀者匕首（★ StatTrak™） | 蓝钢 (久经沙场),$177.99 USD,4
猎杀者匕首（★） | 深红之网 (崭新出厂),"$1,364.64 USD",1
MAC-10 | 烧尽 (久经沙场),$3.23 USD,71
P2000 | 电子脉冲 (略有磨损),$0.60 USD,305
XM1014（StatTrak™） | 天空守卫 (崭新出厂),$14.19 USD,33
猎杀者匕首（★） | 噩梦之夜 (久经沙场),$125.87 USD,18
猎杀者匕首（★） | 北方森林 (久经沙场),$100.39 USD,22
猎杀者匕首（★） | 人工染色 (破损不堪),$116.80 USD,6
猎杀者匕首（★） | 表面淬火 (久经沙场),$172.29 USD,17
AK-47（StatTrak™） | 火神 (战痕累累),$100.54 USD,10
猎杀者匕首（★） | 森林 DDPAT (破损不堪),$114.00 USD,3
猎杀者匕首（★） | 蓝钢 (久经沙场),$138.97 USD,10
猎杀者匕首（★） | 狩猎网格 (破损不堪),$99.68 USD,6
猎杀者匕首（★） | 屠夫 (崭新出厂),$300.00 USD,9
M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场),$299.00 USD,4
爪子刀（★ StatTrak™） | 都市伪装 (战痕累累),$426.96 USD,2
M9 刺刀（★ StatTrak™） | 人工染色 (破损不堪),$317.00 USD,1
刺刀（★ StatTrak™） | 枯焦之色 (战痕累累),$230.00 USD,3
猎杀者匕首（★） | 森林 DDPAT (久经沙场),$97.31 USD,13
猎杀者匕首（★） | 都市伪装 (久经沙场),$98.92 USD,20
猎杀者匕首（★） | 表面淬火 (战痕累累),$174.41 USD,8
猎杀者匕首（★）,$185.00 USD,21
M4A1 消音型（StatTrak™） | 原子合金 (战痕累累),$15.04 USD,40
印花 | 新警长（闪亮）,$23.73 USD,20
CZ75 | 燕尾 (崭新出厂),$2.07 USD,311
M4A4 | 沙漠精英 (崭新出厂),$8.05 USD,182
MAC-10（StatTrak™） | 烧尽 (崭新出厂),$13.00 USD,34
M4A4 | 沙漠精英 (略有磨损),$6.34 USD,232
USP 消音版（StatTrak™） | 凯门鳄 (久经沙场),$32.51 USD,15
MAC-10 | 紫青之色 (破损不堪),$1.73 USD,90
M4A4（StatTrak™） | 沙漠精英 (久经沙场),$12.19 USD,55
MAC-10（StatTrak™） | 烧尽 (破损不堪),$5.99 USD,16
M4A4 | 沙漠精英 (破损不堪),$6.74 USD,39
M4A4（StatTrak™） | 沙漠精英 (略有磨损),$23.28 USD,31
M4A4（StatTrak™） | 沙漠精英 (崭新出厂),$40.21 USD,24
新星 | 绿苹果 (久经沙场),$12.27 USD,29
MAC-10 | 烧尽 (崭新出厂),$4.51 USD,84
CZ75 | 螺形扭转 (破损不堪),$0.42 USD,172
P2000（StatTrak™） | 电子脉冲 (崭新出厂),$2.25 USD,179
P90（StatTrak™） | 深蓝组件 (久经沙场),$1.17 USD,258
P2000（StatTrak™） | 电子脉冲 (略有磨损),$1.20 USD,256
印花 | 干（全息）,$2.02 USD,142
MAC-10 | 烧尽 (破损不堪),$3.48 USD,28
USP 消音版 | 凯门鳄 (久经沙场),$17.77 USD,28
CZ75 | 螺形扭转 (崭新出厂),$1.31 USD,87
MAC-10（StatTrak™） | 烧尽 (久经沙场),$7.05 USD,50
CZ75（StatTrak™） | 螺形扭转 (崭新出厂),$2.96 USD,57
P2000（StatTrak™） | 电子脉冲 (久经沙场),$0.96 USD,520
P2000 | 电子脉冲 (崭新出厂),$0.75 USD,227
SSG 08 | 沙丘之黄 (破损不堪),$1.52 USD,42
沙漠之鹰 | 都市 DDPAT (破损不堪),$0.78 USD,112
UMP-45 | 紫青之色 (战痕累累),$1.77 USD,86
SSG 08 | 迂回路线 (崭新出厂),$10.00 USD,55
MAC-10 | 通勤者皮革 (略有磨损),$6.00 USD,23
USP 消音版 | 宝蓝之色 (略有磨损),$12.67 USD,167
