饰品名称,饰品价格,当前在售数量
加利尔 AR（StatTrak™） | 「经济」克鲁尔 (破损不堪),$4.27 USD,67
精英守护者胸章,$42.69 USD,18
战术胸章,$4.90 USD,86
PP-野牛 | 阿努比斯之审判 (略有磨损),$6.96 USD,146
胜利胸章,$7.10 USD,56
炼狱小镇胸章,$8.77 USD,35
意大利小镇胸章,$4.78 USD,40
守护者胸章,$6.18 USD,77
荒漠迷城胸章,$10.84 USD,38
佣兵训练营胸章,$3.99 USD,44
列车停放站胸章,$3.99 USD,80
加利尔 AR（StatTrak™） | 火线冲锋 (战痕累累),$0.62 USD,136
加利尔 AR（StatTrak™） | 火线冲锋 (崭新出厂),$5.55 USD,53
PP-野牛 | 阿努比斯之审判 (战痕累累),$4.09 USD,45
MP9（StatTrak™） | 生化泄漏 (破损不堪),$0.78 USD,90
PP-野牛（StatTrak™） | 阿努比斯之审判 (久经沙场),$14.22 USD,20
SSG 08（StatTrak™） | 幽灵战士 (崭新出厂),$13.93 USD,34
印花 | GuardiaN | 2016年科隆锦标赛,$3.47 USD,16
印花 | Xizt | 2016年科隆锦标赛,$0.89 USD,24
SCAR-20 | 权力之心 (破损不堪),$0.28 USD,1289
G3SG1 | 通风机 (破损不堪),$0.08 USD,511
格洛克 18 型（StatTrak™） | 鼬鼠 (破损不堪),$1.20 USD,584
P90 | 冷血无情 (崭新出厂),$0.74 USD,850
Tec-9 | 燃料喷射器 (略有磨损),$3.29 USD,230
XM1014 | 滑流 (破损不堪),$0.08 USD,500
穿肠刀（★） | 澄澈之水 (久经沙场),$93.86 USD,17
穿肠刀（★） | 澄澈之水 (略有磨损),$108.18 USD,13
穿肠刀（★） | 传说 (久经沙场),$149.27 USD,26
爪子刀（★） | 澄澈之水 (略有磨损),$491.70 USD,3
刺刀（★） | 澄澈之水 (略有磨损),$278.42 USD,9
穿肠刀（★） | 自动化 (久经沙场),$143.56 USD,23
M9 刺刀（★） | 伽玛多普勒 (崭新出厂),$805.25 USD,20
爪子刀（★） | 自动化 (久经沙场),$880.00 USD,8
M9 刺刀（★） | 自动化 (久经沙场),$626.00 USD,4
爪子刀（★） | 黑色层压板 (略有磨损),$632.50 USD,9
爪子刀（★） | 自由之手 (久经沙场),$443.32 USD,5
刺刀（★） | 黑色层压板 (久经沙场),$402.17 USD,6
折叠刀（★） | 黑色层压板 (破损不堪),$150.62 USD,9
折叠刀（★） | 伽玛多普勒 (崭新出厂),$394.42 USD,24
M9 刺刀（★） | 澄澈之水 (崭新出厂),$363.49 USD,7
M9 刺刀（★） | 自由之手 (久经沙场),$288.89 USD,8
爪子刀（★） | 自动化 (略有磨损),"$1,208.94 USD",3
折叠刀（★） | 自动化 (略有磨损),$233.40 USD,12
AUG（StatTrak™） | 贵族 (破损不堪),$2.20 USD,48
爪子刀（★） | 黑色层压板 (破损不堪),$498.38 USD,6
折叠刀（★） | 自由之手 (崭新出厂),$186.78 USD,11
P2000（StatTrak™） | 至尊威龙 (破损不堪),$5.33 USD,30
AWP（StatTrak™） | 火卫— (破损不堪),$6.57 USD,33
折叠刀（★） | 自由之手 (略有磨损),$181.50 USD,8
刺刀（★） | 自动化 (久经沙场),$464.04 USD,11
M4A1 消音型（StatTrak™） | 机械工业 (略有磨损),$43.94 USD,35
AWP | 火卫— (破损不堪),$2.99 USD,127
格洛克 18 型 | 荒野反叛 (破损不堪),$5.83 USD,90
R8 左轮手枪（StatTrak™） | 重新启动 (崭新出厂),$12.99 USD,27
M4A1 消音型 | 机械工业 (崭新出厂),$23.50 USD,87
MAC-10（StatTrak™） | 捕猎者 (崭新出厂),$1.55 USD,57
P2000（StatTrak™） | 至尊威龙 (战痕累累),$4.65 USD,36
P250（StatTrak™） | 铠甲 (崭新出厂),$1.40 USD,52
折叠刀（★） | 传说 (略有磨损),$399.19 USD,7
折叠刀（★） | 澄澈之水 (久经沙场),$136.46 USD,12
印花 | SK Gaming（全息）| 2016年科隆锦标赛,$22.96 USD,62
亲笔签名胶囊 | Legends（闪亮）| 2016年科隆锦标赛,$41.13 USD,41
印花 | ESL（闪亮）| 2016年科隆锦标赛,$13.92 USD,28
印花 | flusha | 2016年科隆锦标赛,$1.54 USD,27
印花 | EliGE | 2016年科隆锦标赛,$1.78 USD,36
印花 | pashaBiceps | 2016年科隆锦标赛,$4.31 USD,26
印花 | FalleN | 2016年科隆锦标赛,$4.51 USD,24
印花 | FaZe Clan（全息）| 2016年科隆锦标赛,$19.58 USD,65
印花 | FaZe Clan | 2016年科隆锦标赛,$4.14 USD,124
穿肠刀（★） | 自动化 (崭新出厂),$331.38 USD,6
M9 刺刀（★） | 黑色层压板 (略有磨损),$472.45 USD,6
折叠刀（★） | 自由之手 (久经沙场),$162.42 USD,11
穿肠刀（★） | 黑色层压板 (略有磨损),$107.50 USD,22
M4A1 消音型（StatTrak™） | 机械工业 (崭新出厂),$87.82 USD,23
M9 刺刀（★） | 澄澈之水 (久经沙场),$279.72 USD,12
刺刀（★） | 澄澈之水 (久经沙场),$201.08 USD,12
穿肠刀（★） | 伽玛多普勒 (崭新出厂),$166.75 USD,80
爪子刀（★） | 伽玛多普勒 (崭新出厂),"$1,028.27 USD",18
M9 刺刀（★） | 传说 (久经沙场),$760.78 USD,4
爪子刀（★） | 自由之手 (略有磨损),$509.36 USD,7
折叠刀（★） | 澄澈之水 (破损不堪),$177.70 USD,1
印花 | daps | 2016年科隆锦标赛,$1.49 USD,38
印花 | OpTic Gaming（全息）| 2016年科隆锦标赛,$11.40 USD,36
印花 | mousesports | 2016年科隆锦标赛,$3.70 USD,60
印花 | Counter Logic Gaming | 2016年科隆锦标赛,$6.05 USD,63
穿肠刀（★ StatTrak™） | 自由之手 (崭新出厂),$140.99 USD,7
折叠刀（★） | 澄澈之水 (战痕累累),$134.98 USD,2
2016年科隆锦标赛炙热沙城 II 纪念包,$19.61 USD,10
2016年科隆锦标赛古堡激战纪念包,$884.05 USD,25
刺刀（★ StatTrak™） | 黑色层压板 (略有磨损),$356.85 USD,3
穿肠刀（★ StatTrak™） | 澄澈之水 (略有磨损),$129.16 USD,8
法玛斯（StatTrak™） | 防滚架 (略有磨损),$17.44 USD,31
AK-47 | 霓虹革命 (破损不堪),$21.16 USD,76
AK-47（StatTrak™） | 霓虹革命 (战痕累累),$33.29 USD,30
MP9（StatTrak™） | 气密 (崭新出厂),$22.59 USD,19
MP9（StatTrak™） | 气密 (破损不堪),$3.27 USD,47
AUG（StatTrak™） | 席德.米德 (战痕累累),$3.12 USD,80
法玛斯（StatTrak™） | 防滚架 (战痕累累),$6.24 USD,54
UMP-45（StatTrak™） | 简报 (崭新出厂),$1.18 USD,119
AK-47（StatTrak™） | 霓虹革命 (破损不堪),$46.40 USD,13
AUG | 席德.米德 (崭新出厂),$6.50 USD,127
FN57（StatTrak™） | 斯康里娅 (崭新出厂),$1.16 USD,94
SG 553（StatTrak™） | 三巨头 (略有磨损),$1.24 USD,245
AUG（StatTrak™） | 席德.米德 (久经沙场),$3.71 USD,121
MP9（StatTrak™） | 气密 (久经沙场),$3.56 USD,72
CZ75（StatTrak™） | 印花板 (崭新出厂),$1.06 USD,105
内格夫（StatTrak™） | 眩目 (略有磨损),$1.19 USD,127
沙漠之鹰（StatTrak™） | 指挥 (略有磨损),$4.95 USD,143
法玛斯（StatTrak™） | 防滚架 (破损不堪),$7.51 USD,45
Tec-9 | 燃料喷射器 (战痕累累),$1.52 USD,357
MP9（StatTrak™） | 气密 (略有磨损),$7.89 USD,54
Tec-9（StatTrak™） | 燃料喷射器 (战痕累累),$3.12 USD,109
内格夫（StatTrak™） | 眩目 (战痕累累),$0.15 USD,329
MAG-7（StatTrak™） | 石雕 (略有磨损),$1.24 USD,73
SG 553 | 三巨头 (崭新出厂),$1.17 USD,186
XM1014（StatTrak™） | 滑流 (略有磨损),$0.41 USD,331
Tec-9（StatTrak™） | 燃料喷射器 (久经沙场),$3.86 USD,94
P90（StatTrak™） | 冷血无情 (崭新出厂),$3.19 USD,147
G3SG1（StatTrak™） | 通风机 (崭新出厂),$0.82 USD,189
AK-47（StatTrak™） | 霓虹革命 (久经沙场),$39.71 USD,59
格洛克 18 型 | 鼬鼠 (崭新出厂),$1.98 USD,287
FN57（StatTrak™） | 斯康里娅 (战痕累累),$0.14 USD,1100
MP9（StatTrak™） | 气密 (战痕累累),$3.25 USD,47
SG 553（StatTrak™） | 三巨头 (崭新出厂),$6.09 USD,72
印花 | 快动手（全息）,$2.19 USD,56
印花 | 巨龙,$0.32 USD,129
印花 | 蝎狮,$0.31 USD,194
死亡游乐园胸章,$5.54 USD,40
印花 | 海马,$0.18 USD,312
古堡激战胸章,$8.81 USD,35
动物寓言胶囊,$1.01 USD,477
印花 | 鸡生苦短（闪亮）,$1.63 USD,44
印花 | 飞马珀伽索斯（全息）,$2.36 USD,72
印花 | 琼（全息）,$1.20 USD,103
凤凰胸章,$6.81 USD,51
血猎胸章,$9.12 USD,57
印花 | 斯芬克斯,$0.36 USD,230
印花 | 金佰利（全息）,$2.35 USD,104
印花 | 伊维特（全息）,$4.03 USD,106
印花 | 巨龙（闪亮）,$2.85 USD,48
印花 | 斯芬克斯（全息）,$1.07 USD,75
行李仓库胸章,$4.26 USD,71
印花 | 职业哥（闪亮）,$6.82 USD,58
印花 | 杰克（全息）,$2.79 USD,50
印花 | 不要方（闪亮）,$1.95 USD,43
印花 | 玛莎（全息）,$0.74 USD,164
幻彩胸章,$15.90 USD,26
封装的涂鸦 | λ 符号 (黄褐),$0.04 USD,960
封装的涂鸦 | 打得好 (草绿),$0.03 USD,3818
封装的涂鸦 | 矬人 (丁香),$0.03 USD,1772
封装的涂鸦 | 死刑 (暗紫),$0.03 USD,3953
封装的涂鸦 | 咆哮黎明,$7.24 USD,50
封装的涂鸦 | 双斧 (纯紫),$0.03 USD,5355
封装的涂鸦 | 死刑 (军绿),$0.03 USD,5690
封装的涂鸦 | 美元项链 (暗绿),$0.03 USD,6692
封装的涂鸦 | 快枪手 (纯紫),$0.03 USD,3945
封装的涂鸦 | 忍者 (暗紫),$0.03 USD,2804
封装的涂鸦 | 死刑 (棕褐),$0.03 USD,4935
封装的涂鸦 | 技不如人，甘拜下风 (黄褐),$0.03 USD,4640
封装的涂鸦 | 墓碑 (军绿),$0.03 USD,2978
封装的涂鸦 | 眼球 (群青),$0.03 USD,4668
封装的涂鸦 | QQ (豆青),$0.03 USD,4169
封装的涂鸦 | 背刺 (酱紫),$0.03 USD,4380
封装的涂鸦 | 爪子刀 (藕色),$0.03 USD,5385
封装的涂鸦 | 快枪手 (丁香),$0.03 USD,4785
封装的涂鸦 | 盛怒 (棕褐),$0.03 USD,5025
封装的涂鸦 | 柠檬汁,$0.32 USD,337
封装的涂鸦 | 干掉,$2.58 USD,42
封装的涂鸦 | 快枪手 (暗绿),$0.03 USD,4455
封装的涂鸦 | 双杀 (砖红),$0.03 USD,4813
封装的涂鸦 | 老派,$0.34 USD,214
封装的涂鸦 | 伊维特,$0.76 USD,72
封装的涂鸦 | 莫西干仓鼠,$1.28 USD,32
封装的涂鸦 | 盲狙 (棕褐),$0.03 USD,5101
驾驶手套（★） | 护卫 (略有磨损),$146.25 USD,7
血猎手套（★） | 染铜 (久经沙场),$108.00 USD,20
血猎手套（★） | 游击队 (久经沙场),$100.39 USD,24
裹手（★） | 屠夫 (久经沙场),$300.00 USD,22
摩托手套（★） | 日蚀 (战痕累累),$110.59 USD,8
摩托手套（★） | *嘣！* (破损不堪),$221.17 USD,7
裹手（★） | 恶土 (久经沙场),$162.42 USD,17
P90（StatTrak™） | 浅坟 (战痕累累),$3.41 USD,49
驾驶手套（★） | 护卫 (久经沙场),$90.00 USD,21
运动手套（★） | 超导体 (战痕累累),$680.43 USD,3
摩托手套（★） | *嘣！* (久经沙场),$227.33 USD,14
专业手套（★） | 翠绿之网 (战痕累累),$258.86 USD,12
USP 消音版（StatTrak™） | 次时代 (战痕累累),$4.16 USD,96
法玛斯（StatTrak™） | 机械工业 (战痕累累),$4.76 USD,17
专业手套（★） | 森林 DDPAT (略有磨损),$184.17 USD,8
血猎手套（★） | 蛇咬 (破损不堪),$123.85 USD,7
SSG 08（StatTrak™） | 炎龙之焰 (破损不堪),$31.48 USD,9
驾驶手套（★） | 护卫 (战痕累累),$81.82 USD,14
专业手套（★） | 森林 DDPAT (战痕累累),$87.82 USD,13
血猎手套（★） | 焦炭 (战痕累累),$114.46 USD,11
摩托手套（★） | *嘣！* (战痕累累),$102.30 USD,17
裹手（★） | 恶土 (破损不堪),$166.14 USD,11
裹手（★） | 恶土 (战痕累累),$115.85 USD,6
血猎手套（★） | 游击队 (战痕累累),$94.96 USD,9
专业手套（★） | 深红和服 (战痕累累),$644.61 USD,3
专业手套（★） | 元勋 (破损不堪),$238.81 USD,9
印花 | shox | 2017年亚特兰大锦标赛,$2.49 USD,29
印花 | Kjaerbye | 2017年亚特兰大锦标赛,$3.54 USD,21
印花 | Astralis（全息）| 2017年亚特兰大锦标赛,$55.79 USD,25
印花 | Virtus.Pro | 2017年亚特兰大锦标赛,$5.71 USD,194
亲笔签名胶囊 | HellRaisers | 2017年亚特兰大锦标赛,$3.54 USD,33
印花 | seized | 2017年亚特兰大锦标赛,$4.99 USD,22
印花 | rain | 2017年亚特兰大锦标赛,$8.63 USD,13
印花 | jdm64 | 2017年亚特兰大锦标赛,$2.25 USD,17
亲笔签名胶囊 | 传奇（闪亮）| 2017年亚特兰大锦标赛,$95.12 USD,16
法玛斯（StatTrak™） | 机械工业 (久经沙场),$5.03 USD,68
M4A4（StatTrak™） | 喧嚣杀戮 (战痕累累),$25.31 USD,25
印花 | 拆弹倒计时（全息）,$1.09 USD,91
截短霰弹枪（StatTrak™） | 荒野公主 (略有磨损),$8.13 USD,36
P2000（StatTrak™） | 草皮 (崭新出厂),$2.07 USD,103
G3SG1（StatTrak™） | 毒刺 (略有磨损),$1.39 USD,72
M4A4 | 喧嚣杀戮 (崭新出厂),$27.80 USD,110
P90（StatTrak™） | 浅坟 (破损不堪),$4.64 USD,15
法玛斯（StatTrak™） | 机械工业 (崭新出厂),$18.32 USD,40
SSG 08（StatTrak™） | 炎龙之焰 (略有磨损),$49.04 USD,20
P90（StatTrak™） | 浅坟 (崭新出厂),$20.81 USD,14
裹手（★） | 屠夫 (破损不堪),$284.60 USD,5
M4A4（StatTrak™） | 喧嚣杀戮 (破损不堪),$39.81 USD,16
M4A4 | 喧嚣杀戮 (破损不堪),$11.51 USD,73
驾驶手套（★） | 深红织物 (久经沙场),$441.15 USD,11
SSG 08（StatTrak™） | 炎龙之焰 (久经沙场),$28.36 USD,30
M4A4（StatTrak™） | 喧嚣杀戮 (久经沙场),$29.84 USD,45
P2000 | 草皮 (崭新出厂),$0.50 USD,312
双持贝瑞塔（StatTrak™） | 皇室伴侣 (略有磨损),$2.03 USD,77
新星（StatTrak™） | 毒蜥 (略有磨损),$1.30 USD,108
格洛克 18 型（StatTrak™） | 铁之作 (崭新出厂),$3.56 USD,100
G3SG1 | 毒刺 (战痕累累),$0.34 USD,183
MAG-7（StatTrak™） | 声纳 (破损不堪),$0.28 USD,59
双持贝瑞塔（StatTrak™） | 皇室伴侣 (破损不堪),$0.71 USD,148
新星（StatTrak™） | 毒蜥 (久经沙场),$0.71 USD,66
G3SG1 | 毒刺 (破损不堪),$0.31 USD,121
P90 | 浅坟 (崭新出厂),$6.13 USD,115
CZ75 | 聚合物 (战痕累累),$0.11 USD,352
MP7 | 卷云 (崭新出厂),$0.69 USD,529
P2000（StatTrak™） | 草皮 (破损不堪),$0.24 USD,785
SCAR-20（StatTrak™） | 蓝图 (战痕累累),$0.17 USD,433
UMP-45（StatTrak™） | 支架 (久经沙场),$1.15 USD,145
AWP（StatTrak™） | 浮生如梦 (久经沙场),$13.87 USD,106
P250 | 涟漪 (破损不堪),$0.09 USD,1084
PP-野牛（StatTrak™） | 丛林滑流 (破损不堪),$0.20 USD,170
CZ75（StatTrak™） | 相柳 (崭新出厂),$22.47 USD,35
加利尔 AR（StatTrak™） | 深红海啸 (战痕累累),$1.26 USD,46
XM1014（StatTrak™） | 四季 (战痕累累),$1.51 USD,26
M4A1 消音型（StatTrak™） | 毁灭者 2000 (久经沙场),$12.05 USD,172
XM1014 | 四季 (战痕累累),$0.52 USD,158
P250（StatTrak™） | 涟漪 (战痕累累),$0.29 USD,167
加利尔 AR（StatTrak™） | 深红海啸 (略有磨损),$2.35 USD,109
XM1014（StatTrak™） | 四季 (崭新出厂),$3.86 USD,200
XM1014（StatTrak™） | 四季 (略有磨损),$2.15 USD,188
CZ75（StatTrak™） | 相柳 (战痕累累),$9.00 USD,14
M4A1 消音型（StatTrak™） | 毁灭者 2000 (破损不堪),$14.95 USD,28
AK-47（StatTrak™） | 血腥运动 (久经沙场),$126.82 USD,15
M4A1 消音型（StatTrak™） | 毁灭者 2000 (略有磨损),$16.39 USD,120
CZ75 | 相柳 (战痕累累),$4.57 USD,46
P250（StatTrak™） | 涟漪 (崭新出厂),$0.81 USD,299
截短霰弹枪（StatTrak™） | 梭鲈 (战痕累累),$0.16 USD,189
USP 消音版（StatTrak™） | 黑色魅影 (久经沙场),$59.39 USD,27
截短霰弹枪（StatTrak™） | 梭鲈 (破损不堪),$0.16 USD,147
M4A1 消音型 | 毁灭者 2000 (崭新出厂),$12.04 USD,161
SCAR-20（StatTrak™） | 蓝图 (破损不堪),$0.24 USD,88
XM1014（StatTrak™） | 四季 (久经沙场),$1.53 USD,184
P250 | 涟漪 (战痕累累),$0.09 USD,311
MAC-10 | 绝界之行 (破损不堪),$0.59 USD,122
FN57（StatTrak™） | 毛细血管 (破损不堪),$0.50 USD,143
PP-野牛（StatTrak™） | 丛林滑流 (崭新出厂),$0.77 USD,162
MAC-10（StatTrak™） | 绝界之行 (久经沙场),$1.38 USD,107
MAC-10 | 绝界之行 (崭新出厂),$1.09 USD,179
SCAR-20 | 蓝图 (破损不堪),$0.11 USD,505
CZ75 | 相柳 (崭新出厂),$8.58 USD,140
M249 | 翠绿箭毒蛙 (崭新出厂),$1.10 USD,304
截短霰弹枪 | 梭鲈 (战痕累累),$0.08 USD,1183
截短霰弹枪 | 梭鲈 (破损不堪),$0.08 USD,566
封装的涂鸦 | Natus Vincere | 2017年亚特兰大锦标赛,$4.41 USD,27
封装的涂鸦 | Fnatic | 2017年亚特兰大锦标赛,$1.03 USD,109
亲笔签名胶囊 | 挑战者（闪亮）| 2017年亚特兰大锦标赛,$49.84 USD,24
印花 | Team EnVyUs | 2017年亚特兰大锦标赛,$3.84 USD,85
亲笔签名胶囊 | Fnatic | 2017年亚特兰大锦标赛,$3.87 USD,34
印花 | stanislaw（闪亮）| 2017年亚特兰大锦标赛,$13.04 USD,5
亲笔签名胶囊 | Virtus.Pro | 2017年亚特兰大锦标赛,$2.91 USD,67
亲笔签名胶囊 | FaZe Clan | 2017年亚特兰大锦标赛,$4.15 USD,27
封装的涂鸦 | SK Gaming | 2017年亚特兰大锦标赛,$0.70 USD,71
封装的涂鸦 | G2 Esports | 2017年亚特兰大锦标赛,$1.30 USD,43
封装的涂鸦 | HellRaisers | 2017年亚特兰大锦标赛,$0.93 USD,1420
印花 | chrisJ（闪亮）| 2017年亚特兰大锦标赛,$25.07 USD,6
封装的涂鸦 | Flipsid3 Tactics | 2017年亚特兰大锦标赛,$1.15 USD,156
印花 | fer（闪亮）| 2017年亚特兰大锦标赛,$30.38 USD,2
2017年亚特兰大锦标赛古堡激战纪念包,"$1,137.05 USD",32
印花 | SIXER | 2017年亚特兰大锦标赛,$1.96 USD,25
封装的涂鸦 | FaZe Clan | 2017年亚特兰大锦标赛,$1.70 USD,46
印花 | GODSENT | 2017年亚特兰大锦标赛,$3.06 USD,212
2017年亚特兰大锦标赛挑战者（全息/闪亮）,$68.20 USD,27
印花 | Flipsid3 Tactics | 2017年亚特兰大锦标赛,$10.00 USD,38
印花 | gla1ve | 2017年亚特兰大锦标赛,$4.40 USD,25
印花 | Hobbit | 2017年亚特兰大锦标赛,$5.00 USD,45
血猎手套（★） | 焦炭 (破损不堪),$119.15 USD,8
印花 | RpK | 2017年亚特兰大锦标赛,$1.50 USD,37
印花 | ELEAGUE（全息）| 2017年亚特兰大锦标赛,$6.14 USD,48
印花 | kennyS | 2017年亚特兰大锦标赛,$15.47 USD,44
M4A1 消音型 | 简报 (战痕累累),$1.30 USD,231
MAC-10 | 阿罗哈 (略有磨损),$1.54 USD,92
SSG 08 | 鬼脸天蛾 (久经沙场),$3.76 USD,41
MAG-7 | 硬水 (崭新出厂),$1.77 USD,104
加利尔 AR | ~甜甜的~ (崭新出厂),$40.99 USD,34
P250 | 红岩 (崭新出厂),$7.65 USD,25
AK-47 | 轨道 Mk01 (崭新出厂),$15.45 USD,143
法玛斯 | 死亡之舞 (略有磨损),$1.33 USD,40
Tec-9 | 剪纸 (破损不堪),$0.96 USD,57
法玛斯 | 死亡之舞 (破损不堪),$1.10 USD,0
法玛斯 | 死亡之舞 (崭新出厂),$1.72 USD,102
Tec-9（StatTrak™） | 剪纸 (略有磨损),$3.83 USD,15
AK-47 | 轨道 Mk01 (破损不堪),$11.87 USD,36
P250（StatTrak™） | 红岩 (略有磨损),$13.61 USD,8
双持贝瑞塔 | 毒蛇袭击 (久经沙场),$26.26 USD,19
Tec-9（StatTrak™） | 剪纸 (破损不堪),$2.07 USD,25
暗影双匕（★ StatTrak™） | 虎牙 (崭新出厂),$191.89 USD,6
鲍伊猎刀（★ StatTrak™） | 多普勒 (崭新出厂),$394.73 USD,15
鲍伊猎刀（★） | 大马士革钢 (崭新出厂),$170.89 USD,17
鲍伊猎刀（★） | 大马士革钢 (破损不堪),$130.00 USD,7
猎杀者匕首（★ StatTrak™） | 致命紫罗兰 (战痕累累),$131.24 USD,2
暗影双匕（★） | 虎牙 (略有磨损),$154.27 USD,6
鲍伊猎刀（★） | 多普勒 (略有磨损),$322.00 USD,6
鲍伊猎刀（★） | 外表生锈 (破损不堪),$117.77 USD,7
猎杀者匕首（★ StatTrak™） | 虎牙 (崭新出厂),$297.21 USD,13
弯刀（★） | 致命紫罗兰 (略有磨损),$136.42 USD,19
弯刀（★） | 多普勒 (崭新出厂),$258.42 USD,73
M4A1 消音型（StatTrak™） | 毁灭者 2000 (战痕累累),$10.69 USD,66
弯刀（★） | 致命紫罗兰 (战痕累累),$96.17 USD,8
截短霰弹枪（StatTrak™） | 梭鲈 (崭新出厂),$0.96 USD,39
鲍伊猎刀（★ StatTrak™） | 大马士革钢 (略有磨损),$188.60 USD,4
MAC-10（StatTrak™） | 绝界之行 (破损不堪),$1.32 USD,23
猎杀者匕首（★） | 多普勒 (崭新出厂),$275.00 USD,75
猎杀者匕首（★） | 致命紫罗兰 (战痕累累),$107.96 USD,11
鲍伊猎刀（★） | 渐变大理石 (崭新出厂),$287.50 USD,34
猎杀者匕首（★） | 外表生锈 (战痕累累),$98.99 USD,40
暗影双匕（★） | 渐变大理石 (崭新出厂),$146.93 USD,48
猎杀者匕首（★ StatTrak™） | 致命紫罗兰 (久经沙场),$141.49 USD,10
猎杀者匕首（★） | 大马士革钢 (久经沙场),$128.62 USD,18
AWP（StatTrak™） | 浮生如梦 (破损不堪),$17.45 USD,25
MAC-10（StatTrak™） | 绝界之行 (战痕累累),$1.26 USD,22
XM1014（StatTrak™） | 四季 (破损不堪),$1.50 USD,41
AK-47（StatTrak™） | 血腥运动 (破损不堪),$130.38 USD,6
M249（StatTrak™） | 翠绿箭毒蛙 (破损不堪),$1.40 USD,30
暗影双匕（★） | 大马士革钢 (略有磨损),$91.42 USD,25
鲍伊猎刀（★） | 大马士革钢 (久经沙场),$131.48 USD,20
UMP-45（StatTrak™） | 支架 (崭新出厂),$5.30 USD,51
暗影双匕（★） | 致命紫罗兰 (破损不堪),$103.90 USD,9
暗影双匕（★） | 多普勒 (崭新出厂),$172.50 USD,112
暗影双匕（★） | 大马士革钢 (久经沙场),$88.16 USD,14
蝴蝶刀（★） | 外表生锈 (战痕累累),$518.19 USD,10
加利尔 AR（StatTrak™） | 深红海啸 (破损不堪),$1.42 USD,37
猎杀者匕首（★） | 致命紫罗兰 (破损不堪),$114.46 USD,8
弯刀（★ StatTrak™） | 外表生锈 (战痕累累),$116.01 USD,5
猎杀者匕首（★ StatTrak™） | 外表生锈 (战痕累累),$116.38 USD,10
猎杀者匕首（★） | 渐变大理石 (崭新出厂),$276.00 USD,39
弯刀（★） | 大马士革钢 (崭新出厂),$149.42 USD,17
猎杀者匕首（★） | 大马士革钢 (崭新出厂),$152.22 USD,15
鲍伊猎刀（★） | 致命紫罗兰 (久经沙场),$112.36 USD,38
CZ75（StatTrak™） | 相柳 (略有磨损),$17.28 USD,26
AWP（StatTrak™） | 浮生如梦 (略有磨损),$18.97 USD,82
法玛斯（StatTrak™） | 死亡之舞 (久经沙场),$2.32 USD,40
P2000 | 林间猎者 (略有磨损),$5.25 USD,24
P250 | 红岩 (破损不堪),$3.18 USD,21
MAC-10（StatTrak™） | 阿罗哈 (略有磨损),$3.62 USD,27
M4A1 消音型（StatTrak™） | 简报 (战痕累累),$5.13 USD,62
UMP-45 | 合金绽放 (崭新出厂),$1.85 USD,41
UMP-45（StatTrak™） | 合金绽放 (略有磨损),$3.06 USD,22
P250 | 红岩 (久经沙场),$3.65 USD,27
P90（StatTrak™） | 死亡之握 (久经沙场),$10.20 USD,11
法玛斯 | 死亡之舞 (战痕累累),$1.00 USD,55
MAG-7 | 硬水 (久经沙场),$1.05 USD,83
Tec-9（StatTrak™） | 剪纸 (战痕累累),$2.10 USD,32
UMP-45（StatTrak™） | 合金绽放 (崭新出厂),$6.03 USD,26
P250（StatTrak™） | 红岩 (久经沙场),$10.50 USD,9
SSG 08（StatTrak™） | 鬼脸天蛾 (崭新出厂),$18.88 USD,21
UMP-45 | 合金绽放 (破损不堪),$1.09 USD,26
USP 消音版（StatTrak™） | 蓝图 (略有磨损),$27.79 USD,48
UMP-45（StatTrak™） | 合金绽放 (久经沙场),$2.32 USD,33
P90 | 死亡之握 (破损不堪),$3.22 USD,34
MAC-10（StatTrak™） | 阿罗哈 (破损不堪),$3.19 USD,12
M4A4 | 地狱烈焰 (久经沙场),$26.12 USD,48
AK-47（StatTrak™） | 轨道 Mk01 (久经沙场),$24.92 USD,57
MAC-10 | 阿罗哈 (战痕累累),$1.01 USD,51
M4A4（StatTrak™） | 地狱烈焰 (久经沙场),$59.42 USD,8
SSG 08 | 鬼脸天蛾 (崭新出厂),$7.39 USD,87
MAG-7（StatTrak™） | 硬水 (略有磨损),$3.37 USD,22
M4A1 消音型（StatTrak™） | 简报 (崭新出厂),$24.65 USD,23
加利尔 AR（StatTrak™） | ~甜甜的~ (略有磨损),$71.15 USD,8
MAC-10（StatTrak™） | 阿罗哈 (崭新出厂),$5.43 USD,22
USP 消音版 | 蓝图 (破损不堪),$4.63 USD,99
USP 消音版（StatTrak™） | 蓝图 (战痕累累),$8.05 USD,30
M4A1 消音型（StatTrak™） | 简报 (略有磨损),$8.42 USD,56
MAC-10（StatTrak™） | 阿罗哈 (战痕累累),$2.55 USD,20
AK-47（StatTrak™） | 轨道 Mk01 (崭新出厂),$44.34 USD,32
法玛斯（StatTrak™） | 死亡之舞 (略有磨损),$3.22 USD,16
P250 | 红岩 (略有磨损),$5.10 USD,17
FN57 | 暴怒野兽 (破损不堪),$12.90 USD,15
P90（StatTrak™） | 死亡之握 (破损不堪),$8.28 USD,15
MAC-10 | 阿罗哈 (破损不堪),$1.38 USD,24
USP 消音版（StatTrak™） | 蓝图 (崭新出厂),$94.94 USD,15
P90 | 死亡之握 (崭新出厂),$10.41 USD,21
双持贝瑞塔 | 毒蛇袭击 (战痕累累),$20.44 USD,10
