饰品名称,Buff当前价格,Buff当前在售数量
AK-47 | 幻影破坏者 (战痕累累),30.1,190
加利尔 AR | 火箭冰棒 (崭新出厂),23.4,493
AWP | 珊瑚树 (久经沙场),47.1,213
M4A4 | 暗之绽放 (崭新出厂),35.9,491
AK-47（StatTrak™） | 墨岩 (战痕累累),100.8,130
AK-47（StatTrak™） | 墨岩 (破损不堪),101,87
AWP | *嘣* (久经沙场),197.16,230
法玛斯（StatTrak™） | 机械工业 (久经沙场),22.6,207
SG 553 | 浪花喷漆 (久经沙场),20.7,28
M4A1 消音型 | 守护者 (崭新出厂),85.3,752
AUG（StatTrak™） | 席德.米德 (战痕累累),13.6,25
加利尔 AR（StatTrak™） | 冷石 (久经沙场),14.3,120
M4A4 | X 光 (久经沙场),50.89,107
AWP | 暴怒野兽 (战痕累累),94.34,359
AUG | 孟加拉猛虎 (久经沙场),17.47,113
AWP（StatTrak™） | 树蝰 (略有磨损),60.78,498
SSG 08（StatTrak™） | 炎龙之焰 (久经沙场),139.5,101
M4A4（StatTrak™） | 皇帝 (久经沙场),208.5,338
AUG（StatTrak™） | 变色龙 (略有磨损),67.74,84
AK-47 | 火神 (战痕累累),189,253
SG 553 | 红苹果 (久经沙场),19.4,188
SG 553 | 威吓者 (略有磨损),149.5,180
SG 553（StatTrak™） | 浪花喷漆 (久经沙场),30.11,48
AUG（StatTrak™） | 席德.米德 (略有磨损),40.5,207
M4A4 | 丛林虎 (久经沙场),16.79,107
SG 553（纪念品） | 大马士革钢 (战痕累累),20.9,59
AK-47（StatTrak™） | 幻影破坏者 (崭新出厂),201.5,188
AWP（StatTrak™） | 树蝰 (久经沙场),28.77,548
AK-47 | 幻影破坏者 (崭新出厂),65.6,1236
AK-47 | 二西莫夫 (破损不堪),139.5,43
SG 553 | 豹灯蛾 (崭新出厂),17.09,317
M4A4 | 皇家圣骑士 (略有磨损),146.5,805
AK-47（StatTrak™） | 精英之作 (破损不堪),16.4,396
AUG | 席德.米德 (崭新出厂),30.7,403
M4A4 | 黑色魅影 (战痕累累),30.8,791
M4A1 消音型（StatTrak™） | 闪回 (略有磨损),19.3,149
AK-47（StatTrak™） | 蓝色层压板 (略有磨损),93.4,773
法玛斯（StatTrak™） | 元素轮廓 (崭新出厂),88.88,54
M4A1 消音型 | 破碎铅秋 (崭新出厂),35.89,353
M4A1 消音型 | 女火神之炽焰 (破损不堪),41.69,154
M4A1 消音型 | 原子合金 (久经沙场),77.32,216
M4A4（StatTrak™） | 杀意大名 (崭新出厂),94.89,648
AUG | 汪之萌杀 (崭新出厂),39.6,353
SG 553 | 浪花喷漆 (破损不堪),24.7,6
M4A1 消音型（StatTrak™） | 次时代 (久经沙场),92.65,115
法玛斯 | 电子脉冲 (略有磨损),20.3,211
M4A4（纪念品） | 辐射危机 (久经沙场),149.5,459
法玛斯（StatTrak™） | 电子脉冲 (略有磨损),39.67,87
M4A4 | X 光 (略有磨损),59.9,610
M4A4（纪念品） | 狂哮飓风 (略有磨损),51.9,408
SSG 08 | 沙丘之黄 (崭新出厂),139.49,3
加利尔 AR | 迷人眼 (破损不堪),15.2,64
M4A1 消音型（StatTrak™） | 机械工业 (久经沙场),99.09,180
法玛斯 | 防滚架 (崭新出厂),76.59,188
加利尔 AR（StatTrak™） | 迷人眼 (战痕累累),29.9,47
G3SG1（StatTrak™） | 行刑者 (久经沙场),19.4,85
M4A4 | 狂哮飓风 (略有磨损),22.2,96
M4A1 消音型 | 印花集 (破损不堪),177.5,90
法玛斯 | 防滚架 (略有磨损),26.2,677
AWP（StatTrak™） | 浮生如梦 (崭新出厂),134,237
AWP（StatTrak™） | 精英之作 (久经沙场),82,113
加利尔 AR（StatTrak™） | 神祗 (崭新出厂),15.2,259
SG 553 | 次时代 (略有磨损),28.5,613
SG 553 | 次时代 (略有磨损),28.5,613
AWP | 精英之作 (战痕累累),27,242
M4A4（StatTrak™） | 皇家圣骑士 (久经沙场),163.99,100
SSG 08（StatTrak™） | 喋血战士 (久经沙场),56.6,125
AK-47（StatTrak™） | 迷踪秘境 (久经沙场),11.89,702
M4A4（StatTrak™） | 沙漠精英 (久经沙场),56.9,69
AWP（StatTrak™） | 死神 (崭新出厂),79.8,287
M4A4（StatTrak™） | 黑色魅影 (久经沙场),128.5,480
AK-47（StatTrak™） | 混沌点阵 (久经沙场),157.5,297
加利尔 AR（StatTrak™） | 迷人眼 (破损不堪),36.2,48
法玛斯 | 防滚架 (破损不堪),11.99,268
加利尔 AR | 废墟黄昏 (略有磨损),67.46,86
AUG | 璞玉 (略有磨损),67.7,107
M4A1 消音型（StatTrak™） | 机械工业 (略有磨损),192.5,189
加利尔 AR | 废墟黄昏 (战痕累累),62.3,26
SSG 08 | 橙黄镂刻 (略有磨损),125.46,65
加利尔 AR（StatTrak™） | 火箭冰棒 (略有磨损),16.39,377
M4A1 消音型 | 控制台 (略有磨损),38.99,231
AUG（StatTrak™） | 燕群 (略有磨损),40.9,121
AWP | 冲出重围 (战痕累累),140,126
AWP | 冲出重围 (战痕累累),140,126
AWP（StatTrak™） | 猫猫狗狗 (略有磨损),38.8,375
AK-47（StatTrak™） | 红线 (战痕累累),96.52,145
AWP（StatTrak™） | 死神 (略有磨损),39.4,423
AK-47 | 捕食者 (略有磨损),60.89,123
法玛斯（StatTrak™） | 雅典娜之眼 (久经沙场),34.68,62
法玛斯 | 纪念碑 (崭新出厂),88.7,655
AK-47（StatTrak™） | 阿努比斯军团 (久经沙场),198.1,228
M4A1 消音型 | 守护者 (久经沙场),58.7,343
SSG 08（StatTrak™） | 浮生如梦 (崭新出厂),34.9,182
加利尔 AR（StatTrak™） | 深红海啸 (崭新出厂),19.1,151
M4A4 | 辐射危机 (略有磨损),205,170
AWP | 粉红 DDPAT (略有磨损),137.97,318
法玛斯（StatTrak™） | 防滚架 (破损不堪),34.9,55
AUG（StatTrak™） | 燕群 (久经沙场),15.69,149
AUG（StatTrak™） | 席德.米德 (久经沙场),14.98,254
G3SG1 | 弗卢克斯 (崭新出厂),84.67,54
M4A4 | 弹雨 (久经沙场),52.66,176
SSG 08（纪念品） | 迂回路线 (略有磨损),53.48,182
AUG | 变色龙 (久经沙场),18.5,365
SG 553 | 四号栖息地 (破损不堪),18.6,55
AWP（StatTrak™） | 树蝰 (崭新出厂),156.5,203
SSG 08（StatTrak™） | 抖枪 (崭新出厂),43.3,85
M4A4（StatTrak™） | 赛博 (略有磨损),120,292
M4A4 | 活色生香 (破损不堪),139.5,12
SSG 08 | 橙黄镂刻 (崭新出厂),122.9,143
加利尔 AR | 「经济」克鲁尔 (略有磨损),78.9,329
M4A1 消音型（StatTrak™） | 毁灭者 2000 (久经沙场),53.69,191
AK-47 | 霓虹革命 (战痕累累),69.8,147
M4A1 消音型 | 澄澈之水 (略有磨损),99.5,624
AK-47 | 荒野反叛 (战痕累累),106.7,47
M4A4 | 杀意大名 (破损不堪),13.9,88
SSG 08（StatTrak™） | 抖枪 (略有磨损),14.09,158
AK-47 | 巴洛克之紫 (久经沙场),18.98,621
法玛斯 | 灯神 (崭新出厂),36.79,97
法玛斯（StatTrak™） | 灯神 (久经沙场),18.4,93
M4A4（StatTrak™） | 狮鹫 (久经沙场),29.9,194
