饰品名称,Buff当前价格,Buff当前在售数量
截短霰弹枪（StatTrak™） | 荒野公主 (战痕累累),18.88,28
XM1014 | 埋葬之影 (战痕累累),19.42,79
XM1014 | 宁静 (战痕累累),35.09,2
XM1014（纪念品） | 辐射警告 (久经沙场),14.8,111
新星 | 惊惧骷髅 (崭新出厂),22.27,45
截短霰弹枪 | 吞噬 (破损不堪),14.96,18
新星 | 樱花之绚烂 (崭新出厂),198.37,26
新星（StatTrak™） | 惊惧骷髅 (久经沙场),38.79,14
XM1014（StatTrak™） | 埋葬之影 (破损不堪),43.22,29
MAG-7 | 记忆碎片 (久经沙场),13.5,9
MAG-7 | 银质 (略有磨损),79.48,6
截短霰弹枪 | 至高皮革 (崭新出厂),142.5,11
截短霰弹枪 | 外表生锈 (久经沙场),58.26,54
MAG-7（StatTrak™） | 禁卫军 (略有磨损),22.02,36
XM1014（StatTrak™） | 血红巨蟒 (略有磨损),13.56,26
新星（纪念品） | 极地网格 (崭新出厂),20.78,18
XM1014（StatTrak™） | 天空守卫 (久经沙场),35.53,34
截短霰弹枪（StatTrak™） | 北海巨妖 (久经沙场),66.88,16
新星 | 樱花之绚烂 (破损不堪),29.8,2
XM1014 | 工业牧草 (略有磨损),13.07,15
截短霰弹枪（纪念品） | 渐变琥珀 (崭新出厂),19.5,69
XM1014 | 辐射警告 (久经沙场),28.8,13
MAG-7（纪念品） | 辐照警报 (崭新出厂),49.9,15
XM1014（纪念品） | 都市穿孔 (崭新出厂),10.8,22
MAG-7 | 暴风呼啸 (崭新出厂),11.78,12
截短霰弹枪 | 橙黄 DDPAT (久经沙场),44.39,9
XM1014（StatTrak™） | 天空守卫 (战痕累累),35.43,3
截短霰弹枪 | 荒野公主 (破损不堪),11.29,14
XM1014（StatTrak™） | 天空守卫 (略有磨损),48.8,22
XM1014 | 天空守卫 (破损不堪),17,3
新星 | 胡桃木 (崭新出厂),42.1,9
MAG-7（纪念品） | 威吓者 (破损不堪),33.68,16
MAG-7（纪念品） | 核芯破裂 (久经沙场),42.9,19
新星 | 现代猎手 (略有磨损),91.59,6
MAG-7 | 坚固链甲 (久经沙场),65.8,29
新星 | 天秤之月 (破损不堪),10.5,7
截短霰弹枪（纪念品） | 刹车灯 (略有磨损),9.9,9
XM1014 | 天空守卫 (战痕累累),20.74,4
XM1014（StatTrak™） | 天空守卫 (破损不堪),41.82,3
新星（StatTrak™） | 惊惧骷髅 (战痕累累),31.96,3
XM1014 | 芭蕉叶 (破损不堪),40.9,11
MAG-7 | 暴风呼啸 (破损不堪),8.97,5
XM1014（纪念品） | 辐射警告 (略有磨损),38.8,57
截短霰弹枪（StatTrak™） | 橙黄 DDPAT (略有磨损),109.5,8
MAG-7（纪念品） | 沙丘之黄 (崭新出厂),24.8,47
MAG-7（纪念品） | 暴风呼啸 (崭新出厂),11.99,68
截短霰弹枪（StatTrak™） | 橙黄 DDPAT (久经沙场),79.9,14
截短霰弹枪 | 外表生锈 (破损不堪),119.5,3
新星（StatTrak™） | 暴怒野兽 (战痕累累),74.7,5
XM1014 | 都市穿孔 (崭新出厂),24.9,4
截短霰弹枪（StatTrak™） | 吞噬 (破损不堪),38.49,6
XM1014 | 辐射警告 (略有磨损),64.8,12
MAG-7 | 危机色调 (久经沙场),22.14,8
截短霰弹枪（StatTrak™） | 吞噬 (战痕累累),28.38,13
XM1014 | 狂野丛林 (崭新出厂),69.9,4
MAG-7（纪念品） | 核芯破裂 (略有磨损),127,12
MAG-7（纪念品） | 银质 (略有磨损),38.77,30
新星（StatTrak™） | 石墨黑 (略有磨损),70.9,4
新星 | 绿苹果 (久经沙场),64.24,9
XM1014（StatTrak™） | 特克卢喷射者 (破损不堪),9.9,6
XM1014（纪念品） | 辐射警告 (战痕累累),10.4,32
MAG-7（StatTrak™） | 记忆碎片 (久经沙场),20.37,3
MAG-7 | 辐照警报 (略有磨损),16.56,6
XM1014（StatTrak™） | 天空守卫 (崭新出厂),69.8,20
XM1014 | 蔚蓝多变迷彩 (久经沙场),33.03,1
XM1014 | 火焰橙 (久经沙场),32.57,4
截短霰弹枪（StatTrak™） | 路霸 (崭新出厂),39.78,21
XM1014 | 都市穿孔 (略有磨损),11.9,2
截短霰弹枪 | 橙黄 DDPAT (略有磨损),54.89,18
XM1014 | 火焰橙 (略有磨损),75.99,10
新星（纪念品） | 捕食者 (崭新出厂),15.9,15
新星 | 森林之叶 (略有磨损),11.78,6
截短霰弹枪（StatTrak™） | 祥和之翼 (战痕累累),16.3,5
XM1014（纪念品） | 蔚蓝多变迷彩 (战痕累累),10.88,10
截短霰弹枪（StatTrak™） | 北海巨妖 (略有磨损),101.05,11
MAG-7 | 辐照警报 (崭新出厂),49.9,7
截短霰弹枪 | 辐照警报 (崭新出厂),47.42,2
MAG-7（纪念品） | 核芯破裂 (战痕累累),34.79,13
截短霰弹枪 | 马赛克 (崭新出厂),79.21,4
新星 | 火焰橙 (战痕累累),179.67,3
新星 | 火焰橙 (破损不堪),28,1
新星（StatTrak™） | 樱花之绚烂 (战痕累累),51.88,3
XM1014 | 工业牧草 (崭新出厂),89.9,5
XM1014（StatTrak™） | 焚烬之鳄 (略有磨损),154.5,27
MAG-7 | 威吓者 (破损不堪),11.68,14
截短霰弹枪（StatTrak™） | 祥和之翼 (破损不堪),16.1,2
XM1014（纪念品） | 辐射警告 (破损不堪),16.04,10
XM1014 | 红色皮革 (久经沙场),100.35,1
新星（StatTrak™） | 暴怒野兽 (破损不堪),76.9,2
新星 | 兴风作浪 (久经沙场),24.79,7
新星 | 天秤之月 (战痕累累),11.26,6
新星 | 火焰橙 (略有磨损),119.5,2
XM1014（StatTrak™） | 血红巨蟒 (破损不堪),9.42,6
截短霰弹枪 | 辐照警报 (略有磨损),12.81,1
MAG-7（StatTrak™） | 灼烧之痕 (崭新出厂),60.9,15
MAG-7 | 辐照警报 (久经沙场),7.42,4
新星 | 现代猎手 (久经沙场),35.8,4
XM1014 | 红色皮革 (略有磨损),114.5,3
MAG-7（纪念品） | 核芯破裂 (破损不堪),19.9,8
截短霰弹枪 | 马赛克 (略有磨损),17.62,6
XM1014（纪念品） | 蓝色云杉 (略有磨损),27.92,13
XM1014 | 火焰橙 (破损不堪),31.4,7
新星 | 火焰橙 (久经沙场),51.43,2
新星 | 惊惧骷髅 (破损不堪),22.9,4
XM1014（纪念品） | 加州迷彩 (久经沙场),34.64,6
截短霰弹枪 | 马赛克 (战痕累累),12.69,1
新星 | 幽灵迷彩 (破损不堪),13.01,2
截短霰弹枪 | 北海巨妖 (破损不堪),59.69,5
新星（StatTrak™） | 幽灵迷彩 (破损不堪),21.85,5
MAG-7（StatTrak™） | 硬水 (破损不堪),14.49,3
新星 | 森林之叶 (崭新出厂),76.87,1
截短霰弹枪（纪念品） | 蝮蛇迷彩 (崭新出厂),79.45,3
截短霰弹枪 | 贤者涂装 (崭新出厂),12.56,1
XM1014 | 都市穿孔 (战痕累累),7.61,3
XM1014（纪念品） | 碾骨机 (破损不堪),31.9,11
XM1014（纪念品） | 蓝色云杉 (破损不堪),18.88,2
新星 | 现代猎手 (战痕累累),32.32,7
截短霰弹枪（纪念品） | 辐照警报 (崭新出厂),57,5
新星（纪念品） | 沙丘之黄 (略有磨损),29.79,8
XM1014 | 蔚蓝多变迷彩 (战痕累累),24.9,2
新星 | 惊惧骷髅 (战痕累累),19.7,6
